"sep=,"
Data do vôo,Avião,Capacidade,Modelo,Compania,Aeroporto,Cidade,Estado,Região,Preço 1d,Preço 15d,Preço 30d,Horário de saída,Horário de chegada,Duração em minutos,Conexões,Distância,Yield Pax
2022-07-15,LA 3336,198,321,LATAM AIRLINES BRASIL,GRU,São Paulo,São Paulo,Sudeste,0.0,0.0,659.37,06:15:00,08:00:00,105,0,835,0.79
2022-07-15,LA 3338,198,321,LATAM AIRLINES BRASIL,GRU,São Paulo,São Paulo,Sudeste,0.0,0.0,698.97,16:20:00,18:00:00,100,0,835,0.84
2022-07-15,LA 3340,174,320,LATAM AIRLINES BRASIL,GRU,São Paulo,São Paulo,Sudeste,0.0,0.0,608.07,21:40:00,23:20:00,100,0,835,0.73
2022-07-15,LA 3288,198,321,LATAM AIRLINES BRASIL,GRU,São Paulo,São Paulo,Sudeste,0.0,0.0,3039.26,06:45:00,10:00:00,195,1,835,3.64
2022-07-15,LA 3320,198,321,LATAM AIRLINES BRASIL,GRU,São Paulo,São Paulo,Sudeste,0.0,0.0,3039.26,06:55:00,15:15:00,500,1,835,3.64
2022-07-15,LA 3690,144,319,LATAM AIRLINES BRASIL,GRU,São Paulo,São Paulo,Sudeste,0.0,0.0,3079.06,07:45:00,15:15:00,450,1,835,3.69
2022-07-15,LA 3332,198,321,LATAM AIRLINES BRASIL,GRU,São Paulo,São Paulo,Sudeste,0.0,0.0,3039.26,11:25:00,15:15:00,230,1,835,3.64
2022-07-15,LA 3892,198,321,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,410.19,08:45:00,10:00:00,75,0,534,0.77
2022-07-15,LA 3723,198,321,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,3038.48,05:35:00,10:50:00,315,1,534,5.69
2022-07-15,LA 3289,198,321,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1112.19,10:20:00,18:00:00,460,1,534,2.08
2022-07-15,LA 3289,198,321,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1662.42,10:20:00,19:10:00,530,1,534,3.11
2022-07-15,LA 3291,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1112.19,11:15:00,18:00:00,405,1,534,2.08
2022-07-15,LA 3291,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1662.42,11:15:00,19:10:00,475,1,534,3.11
2022-07-15,LA 3397,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1622.49,12:00:00,19:10:00,430,1,534,3.04
2022-07-15,LA 3061,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1622.49,13:25:00,19:10:00,345,1,534,3.04
2022-07-15,LA 3065,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1622.49,15:10:00,19:10:00,240,1,534,3.04
2022-07-15,LA 3065,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1152.45,15:10:00,23:20:00,490,1,534,2.16
2022-07-15,LA 3293,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1112.19,16:15:00,23:20:00,425,1,534,2.08
2022-07-15,LA 3067,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1662.75,16:35:00,23:20:00,405,1,534,3.11
2022-07-15,LA 3513,198,321,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1328.19,17:35:00,23:20:00,345,1,534,2.49
2022-07-15,LA 3287,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1328.19,05:10:00,15:15:00,605,2,534,2.49
2022-07-15,LA 3287,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1662.29,05:10:00,15:15:00,605,2,534,3.11
2022-07-15,LA 3385,174,320,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,3038.48,14:20:00,23:20:00,540,2,534,5.69
2022-07-15,LA 3825,144,319,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1368.45,15:00:00,23:20:00,500,2,534,2.56
2022-07-15,LA 3825,144,319,LATAM AIRLINES BRASIL,CWB,Curitiba,Paraná,Sul,0.0,0.0,1788.09,15:00:00,23:20:00,500,2,534,3.35
2022-07-15,LA 3108,144,319,LATAM AIRLINES BRASIL,CGH,São Paulo,São Paulo,Sudeste,0.0,0.0,707.64,08:25:00,10:05:00,100,0,835,0.85
2022-07-15,LA 3110,174,320,LATAM AIRLINES BRASIL,CGH,São Paulo,São Paulo,Sudeste,0.0,0.0,1327.74,17:30:00,19:10:00,100,0,835,1.59
2022-07-15,LA 3004,174,320,LATAM AIRLINES BRASIL,CGH,São Paulo,São Paulo,Sudeste,0.0,0.0,3038.93,06:00:00,10:50:00,290,1,835,3.64
2022-07-15,LA 3906,174,320,LATAM AIRLINES BRASIL,CGH,São Paulo,São Paulo,Sudeste,0.0,0.0,3078.73,07:20:00,15:15:00,475,1,835,3.69
2022-07-15,LA 3908,144,319,LATAM AIRLINES BRASIL,CGH,São Paulo,São Paulo,Sudeste,0.0,0.0,3078.73,07:45:00,15:15:00,450,1,835,3.69
2022-07-15,LA 3910,174,320,LATAM AIRLINES BRASIL,CGH,São Paulo,São Paulo,Sudeste,0.0,0.0,3078.73,08:35:00,15:15:00,400,1,835,3.69
2022-07-15,LA 3818,198,321,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,1001.81,13:00:00,15:15:00,135,0,1192,0.84
2022-07-15,LA 3321,198,321,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,2367.11,15:50:00,23:20:00,450,1,1192,1.99
2022-07-15,LA 3533,198,321,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,1835.21,19:15:00,23:20:00,245,1,1192,1.54
2022-07-15,LA 3327,174,320,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,2367.11,23:25:00,08:00:00,515,1,1192,1.99
2022-07-15,LA 3987,174,320,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,2738.9,04:50:00,10:00:00,310,2,1192,2.30
2022-07-15,LA 3854,198,321,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,3038.8,08:35:00,23:20:00,885,2,1192,2.55
2022-07-15,LA 3733,198,321,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,2544.41,18:10:00,08:00:00,830,2,1192,2.13
2022-07-15,LA 3327,174,320,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,2738.9,23:25:00,10:00:00,635,2,1192,2.30
2022-07-15,LA 3327,174,320,LATAM AIRLINES BRASIL,GIG,Rio de Janeiro,Rio de Janeiro,Sudeste,0.0,0.0,2778.83,23:25:00,10:00:00,635,2,1192,2.33
2022-07-15,LA 3659,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,1034.65,08:30:00,18:00:00,570,1,599,1.73
2022-07-15,LA 3403,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,1074.91,08:40:00,18:00:00,560,1,599,1.79
2022-07-15,LA 3661,198,321,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,405.55,10:15:00,18:00:00,465,1,599,0.68
2022-07-15,LA 3661,198,321,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,1016.08,10:15:00,19:10:00,535,1,599,1.70
2022-07-15,LA 3151,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,1074.91,10:40:00,18:00:00,440,1,599,1.79
2022-07-15,LA 3151,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,1034.65,10:40:00,19:10:00,510,1,599,1.73
2022-07-15,LA 3159,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,976.15,13:05:00,19:10:00,365,1,599,1.63
2022-07-15,LA 3469,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,632.35,13:25:00,18:00:00,275,1,599,1.06
2022-07-15,LA 3469,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,632.35,13:25:00,23:20:00,595,1,599,1.06
2022-07-15,LA 3663,198,321,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,756.55,14:40:00,23:20:00,520,1,599,1.26
2022-07-15,LA 3153,144,319,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,796.81,15:25:00,23:20:00,475,1,599,1.33
2022-07-15,LA 3669,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,756.55,05:25:00,15:15:00,590,2,599,1.26
2022-07-15,LA 3471,198,321,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,756.55,05:55:00,15:15:00,560,2,599,1.26
2022-07-15,LA 3659,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,1034.65,08:30:00,15:15:00,405,2,599,1.73
2022-07-15,LA 3835,144,319,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,976.15,08:55:00,18:00:00,545,2,599,1.63
2022-07-15,LA 3835,144,319,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,976.15,08:55:00,19:10:00,615,2,599,1.63
2022-07-15,LA 3835,144,319,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,976.15,08:55:00,19:10:00,615,2,599,1.63
2022-07-15,LA 3835,144,319,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,976.15,08:55:00,19:10:00,615,2,599,1.63
2022-07-15,LA 3455,198,321,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,976.15,11:55:00,19:10:00,435,2,599,1.63
2022-07-15,LA 3455,198,321,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,566.65,11:55:00,23:20:00,685,2,599,0.95
2022-07-15,LA 3455,198,321,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,672.61,11:55:00,23:20:00,685,2,599,1.12
2022-07-15,LA 3455,198,321,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,756.55,11:55:00,23:20:00,685,2,599,1.26
2022-07-15,LA 3837,174,320,LATAM AIRLINES BRASIL,POA,Porto Alegre,Rio Grande do Sul,Sul,0.0,0.0,1034.65,14:50:00,23:20:00,510,2,599,1.73
2022-07-15,LA 3738,174,320,LATAM AIRLINES BRASIL,BSB,Brasília,Distrito Federal,Centro-Oeste,0.0,0.0,632.74,08:40:00,10:50:00,130,0,1296,0.49
